ticker,fund_name,fund_theme,condition,horizon,full_avg,full_hit,full_trades,test_avg,test_hit,full_tstat,full_std,full_min,test_std,poor_train,high_std,poor_mono,direction_conflict,btc_weak_link,threshold_suboptimal,category,reason
OEPIX,Oil & Gas Equipment & Services UltraSector ProFund - Investor Class,能源,TLT_down_XLE_up_XLU_down,2,0.280446178033344,0.5793991416309013,466,0.4219287847084833,0.5964912280701754,2.733885138423826,2.2144313436895438,-8.509983055600234,2.055907523912112,0,0,0,0,0,0,acceptable,各项指标可接受
OEPIX,Oil & Gas Equipment & Services UltraSector ProFund - Investor Class,能源,GLD_down_SPY_up_XLC_up,2,0.3579682028895025,0.5892857142857143,280,0.2921818506119857,0.625,2.309571108339944,2.593535094428482,-9.160353961999334,2.185977391880386,0,0,0,0,0,0,acceptable,各项指标可接受
OEPSX,Oil & Gas Equipment & Services UltraSector ProFund - Service Class,能源,combo_XLU_big_down__ext_vix_20dvol_up,3,0.3074413763201192,0.5500945179584121,529,0.6067705836056779,0.6538461538461539,3.189955895124428,2.2166926088759995,-6.516853973529646,1.6080457214930723,0,0,1,0,0,0,acceptable,各项指标可接受
OEPSX,Oil & Gas Equipment & Services UltraSector ProFund - Service Class,能源,TLT_down_XLE_up_XLU_down,2,0.2772770704975591,0.5815450643776824,466,0.4185187562008812,0.5964912280701754,2.704665924389788,2.2130604956352857,-8.456910921333785,2.056235100819632,0,0,0,0,0,0,acceptable,各项指标可接受
OEPSX,Oil & Gas Equipment & Services UltraSector ProFund - Service Class,能源,GLD_down_SPY_up_XLC_up,2,0.3524292041302049,0.5892857142857143,280,0.2877766904569974,0.625,2.2739127671151382,2.593445373483231,-9.16874111215901,2.186471528260755,0,0,0,0,0,0,acceptable,各项指标可接受
OTPIX,NASDAQ-100 ProFund Investor Class,纳指100,combo_XLF_big_down__self_down,1,0.2565866645414507,0.58,750,0.2942482484340202,0.5882352941176471,3.9171983748074135,1.793862483812464,-6.83500110955714,1.6562409201407515,0,0,0,0,0,0,acceptable,各项指标可接受
OTPIX,NASDAQ-100 ProFund Investor Class,纳指100,GDX_up_SPY_down_XLC_down,1,0.3074010581084732,0.6444444444444445,180,0.5696050991469938,0.6792452830188679,2.3974598589216347,1.7202448493008375,-4.61435824130577,2.0790382170312,0,0,0,0,0,0,acceptable,各项指标可接受
OTPIX,NASDAQ-100 ProFund Investor Class,纳指100,GLD_down_QQQ_down_XLF_up,2,0.2945313885848387,0.6589147286821705,129,0.3320459555101365,0.7096774193548387,4.075567361564606,0.8208019214740535,-1.868193501122805,0.8193221708604017,0,0,0,0,0,0,acceptable,各项指标可接受
OTPSX,NASDAQ-100 ProFund Service Class,纳指100,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.3476785010318912,0.6112956810631229,301,0.4908307564586714,0.6170212765957447,3.317450300897919,1.818262822839463,-6.13060062745014,2.4331781056404718,0,0,0,0,0,0,acceptable,各项指标可接受
PHPIX,Pharmaceuticals UltraSector ProFund Investor,医药,FXY_up_GDX_up_QQQ_down,1,0.3504607213769066,0.5811965811965812,468,0.7123919504602448,0.6097560975609756,4.294677190028033,1.765353778711765,-6.57926831972539,2.231941972907549,0,0,0,0,0,0,acceptable,各项指标可接受
