ETF,Fund,N,Same,Lead1,DirAgree
CEW,REPIX,2509,0.386,0.0112,0.5088
CEW,REPSX,2509,0.3859,0.0111,0.5072
CEW,RRPIX,2477,-0.033,-0.0167,0.4847
CEW,RRPSX,2477,-0.0348,-0.016,0.4855
CEW,RTPIX,2477,-0.0878,-0.0147,0.4552
CEW,RTPSX,2477,-0.0957,-0.015,0.4544
CEW,SGPIX,2509,0.4155,-0.0379,0.5048
CEW,SGPSX,2509,0.4131,-0.0356,0.504
CEW,SHPIX,2509,-0.4229,0.0371,0.4685
CEW,SHPSX,2509,-0.4235,0.0381,0.4661
CEW,SLPIX,2509,0.4356,-0.0424,0.5024
CEW,SLPSX,2509,0.4359,-0.0426,0.5028
CEW,SMPIX,2509,0.349,-0.0338,0.488
CEW,SMPSX,2509,0.3458,-0.0277,0.4813
CEW,SNPIX,2509,-0.3184,0.0345,0.488
CEW,SNPSX,2509,-0.3183,0.0348,0.4848
CEW,SOPIX,2509,-0.3909,0.0395,0.4669
CEW,SOPSX,2509,-0.3916,0.0398,0.4661
CEW,SPPIX,2509,-0.3751,-0.0037,0.4964
CEW,SPPSX,2509,-0.3763,-0.0044,0.4988
CEW,SRPIX,2509,-0.3847,-0.0083,0.4522
CEW,SRPSX,2509,-0.3846,-0.0106,0.4518
CEW,SVPIX,2509,0.4026,-0.0263,0.5036
CEW,SVPSX,2509,0.4005,-0.026,0.5036
CEW,TEPIX,2509,0.3836,-0.0239,0.5016
CEW,TEPSX,2509,0.382,-0.0187,0.4988
CEW,UAPIX,2509,0.4375,-0.0391,0.5036
CEW,UAPSX,2509,0.4374,-0.0391,0.5032
CEW,UBPIX,2509,0.5973,-0.0339,0.4825
CEW,UBPSX,2509,0.5983,-0.0336,0.4841
CEW,UCPIX,2509,-0.4346,0.0418,0.4745
CEW,UCPSX,2509,-0.4348,0.0418,0.4741
CEW,UDPIX,2509,0.4295,-0.027,0.5048
CEW,UDPSX,2509,0.4297,-0.0261,0.5036
CEW,UEPIX,2509,0.5471,-0.0289,0.4741
CEW,UEPSX,2509,0.5535,-0.0259,0.4733
CEW,UFPIX,2509,-0.5971,0.0351,0.492
CEW,UFPSX,2509,-0.5977,0.0353,0.4904
CEW,UGPIX,2509,0.4067,-0.0181,0.4713
CEW,UGPSX,2509,0.4063,-0.0178,0.4701
CEW,UHPIX,2509,-0.4038,0.0183,0.5012
CEW,UHPSX,2509,-0.4042,0.0177,0.5
CEW,UIPIX,2509,-0.4495,0.0327,0.4669
CEW,UIPSX,2509,-0.4483,0.0321,0.4637
CEW,UJPIX,2509,0.3451,-0.0696,0.4888
CEW,UJPSX,2509,0.3415,-0.0684,0.4864
CEW,UKPIX,2509,-0.3435,0.0732,0.4856
CEW,UKPSX,2509,-0.3468,0.0739,0.4844
CEW,ULPIX,2509,0.443,-0.0263,0.4968
